3.799,0.529
3.677,0.441
3.61,0.393
3.577,0.369
3.622,0.402
3.628,0.407
3.595,0.382
3.644,0.418
3.729,0.479
3.683,0.446
3.592,0.381
3.528,0.335
3.549,0.35
3.525,0.333
3.595,0.383
3.513,0.324
3.461,0.287
3.436,0.27
3.4,0.243
3.314,0.182
3.177,0.086
3.027,0.073
3.012,0.072
2.948,0.067
2.841,0.058
2.841,0.058
2.792,0.054
2.841,0.058
2.868,0.061
2.893,0.063
2.951,0.067
3.055,0.076
3.103,0.08
3.161,0.084
3.277,0.157
3.308,0.179
3.311,0.181
3.366,0.22
3.497,0.314
3.601,0.389
3.674,0.442
3.778,0.516
3.879,0.589
4.007,0.681
4.104,0.751
4.202,0.821
4.254,0.866
4.263,0.877
4.226,0.838
4.242,0.851
4.272,0.889
4.233,0.843
4.138,0.775
4.071,0.726
4.15,0.783
4.178,0.803
4.123,0.763
4.034,0.699
3.967,0.651
3.851,0.568
3.763,0.504
3.729,0.48
3.845,0.563
3.83,0.553
3.757,0.501
3.674,0.442
3.631,0.411
3.723,0.477
3.897,0.602
4.08,0.733
4.266,0.882
4.51,1.184
4.748,1.479
5.014,1.808
5.328,2.213
5.621,2.723
5.926,3.255
6.296,3.898
6.65,4.674
6.97,5.409
7.239,6.025
7.55,6.812
7.828,7.613
8.197,8.68
8.508,9.58
8.786,10.373
8.963,10.878
8.993,10.962
8.957,10.854
8.951,10.834
8.987,10.938
9.073,11.182
9.241,11.663
9.463,12.3
9.692,12.835
9.836,13.12
9.955,13.356
9.991,13.426
9.952,13.344
9.875,13.189
9.622,12.681
9.564,12.566
9.674,12.789
9.75,12.948
9.747,12.949
9.662,12.782
9.686,12.832
9.634,12.728
9.573,12.605
9.476,12.344
9.405,12.142
9.482,12.358
9.378,12.062
9.222,11.616
9.225,11.622
9.036,11.085
8.978,10.921
9.119,11.31
9.244,11.678
9.436,12.234
9.555,12.571
9.588,12.639
9.646,12.756
9.732,12.926
9.531,12.508
9.424,12.203
9.427,12.212
9.335,11.948
9.338,11.959
9.402,12.143
9.372,12.056
9.405,12.152
9.451,12.281
9.534,12.515
9.549,12.558
9.567,12.592
9.656,12.768
9.793,13.042
9.86,13.175
9.775,12.999
9.945,13.337
10.098,13.641
10.135,13.712
10.165,13.774
10.33,14.105
10.48,14.407
10.498,14.444
10.315,14.077
10.043,13.533
9.955,13.353
9.863,13.167
9.863,13.164
9.747,12.93
9.533,12.475
9.302,11.809
9.094,11.213
9.024,11.009
9.06,11.11
9.067,11.125
9.164,11.401
9.216,11.547
9.228,11.58
9.244,11.622
9.225,11.57
9.164,11.396
9.054,11.083
9.106,11.232
9.253,11.652
9.274,11.713
9.503,12.367
9.646,12.711
9.83,13.077
9.707,12.831
9.68,12.776
9.646,12.71
9.765,12.949
9.823,13.065
10.031,13.48
10.406,14.23
10.461,14.34
10.464,14.346
10.754,14.798
10.37,14.163
10.162,13.751
10.187,13.804
10.254,13.934
10.44,14.306
10.541,14.51
10.562,14.554
10.675,14.73
10.742,14.793
10.785,14.832
11.096,15.123
11.365,15.374
11.294,15.308
11.355,15.364
11.31,15.322
11.233,15.251
11.212,15.232
11.285,15.302
11.487,15.49
11.682,15.671
11.719,15.683
11.725,15.685
11.697,15.677
11.786,15.704
11.935,15.75
12.002,15.77
12.002,15.77
12.066,15.79
12.115,15.804
12.106,15.801
12.033,15.778
12.042,15.781
12.124,15.806
12.24,15.841
12.399,15.89
12.527,15.929
12.619,15.957
12.668,15.972
12.726,15.991
12.857,16
13.028,16
13.226,16
13.321,16
13.425,16
13.479,16
13.476,16
13.385,16
13.254,16
13.162,16
13.138,16
13.141,16
13.125,16
13.122,16
13.168,16
13.199,16
13.251,16
13.324,16
13.315,16
13.284,16
13.269,16
13.29,16
13.309,16
13.339,16
13.376,16
13.437,16
13.501,16
13.586,16
13.672,16
13.751,16
13.775,16
13.775,16
13.794,16
13.818,16
13.843,16
13.83,16
13.821,16
13.794,16
13.769,16
13.763,16
13.751,16
13.778,16
13.806,16
13.824,16
13.809,16
13.785,16
13.751,16
13.699,16
13.614,16
13.519,16
13.412,16
13.324,16
13.214,16
13.055,16
12.903,16
12.866,16
12.854,16
12.778,16
12.662,15.964
12.512,15.919
12.43,15.893
12.436,15.895
12.478,15.908
12.46,15.902
12.353,15.869
12.213,15.826
12.182,15.817
12.179,15.816
12.079,15.785
11.89,15.726
11.56,15.529
11.224,15.218
10.956,14.969
10.791,14.816
10.705,14.737
10.623,14.634
10.428,14.245
10.132,13.656
9.476,12.261
8.185,8.59
8.398,9.221
8.749,10.224
8.78,10.312
9.11,11.262
9.842,13.123
11.09,15.124
11.722,15.687
11.145,15.181
10.364,14.192
9.9,13.267
9.61,12.69
9.219,11.634
8.81,10.468
8.551,9.73
8.307,9.029
8.008,8.166
7.648,7.125
7.355,6.315
7.291,6.169
7.425,6.489
7.571,6.917
7.699,7.292
7.858,7.756
8.014,8.211
8.215,8.8
8.429,9.424
8.685,10.163
9.07,11.269
9.686,12.896
9.933,13.395
9.756,13.041
9.64,12.809
9.317,11.989
8.64,10.045
8.084,8.439
7.761,7.501
7.577,6.971
7.413,6.494
7.336,6.31
7.425,6.532
7.642,7.164
7.642,7.166
7.272,6.167
7.013,5.57
6.906,5.325
6.934,5.389
6.976,5.489
7.166,5.927
7.37,6.4
7.66,7.231
7.773,7.562
7.977,8.158
8.331,9.189
8.017,8.276
7.525,6.846
6.436,4.247
6.109,3.618
6.793,5.073
6.421,4.213
6.134,3.661
5.801,3.078
5.737,2.967
5.527,2.599
5.234,2.108
5.139,1.991
5.035,1.862
5.31,2.222
5.667,2.85
5.612,2.755
5.759,3.014
6.186,3.765
6.375,4.126
6.366,4.106
6.384,4.151
6.445,4.293
6.558,4.556
6.641,4.748
6.629,4.722
6.83,5.19
7.425,6.6
8.145,8.701
8.691,10.287
8.752,10.466
8.548,9.88
8.673,10.242
8.688,10.288
8.356,9.329
7.834,7.81
8.222,8.942
8.521,9.812
8.188,8.848
8.151,8.744
8.316,9.226
8.078,8.533
8.051,8.454
8.255,9.051
8.243,9.017
8.261,9.072
8.353,9.34
8.359,9.358
8.258,9.064
8.194,8.877
8.246,9.028
8.228,8.973
8.191,8.865
8.112,8.633
7.996,8.294
7.831,7.813
7.681,7.376
7.544,6.976
7.459,6.727
7.428,6.638
7.462,6.737
7.547,6.986
7.648,7.28
7.736,7.537
7.803,7.732
7.849,7.865
7.828,7.801
7.727,7.507
7.605,7.15
7.501,6.846
7.437,6.658
